002,Pen,01,4.00,9600,103
003,Pencil,01,0.30,201,103,active
004,Highlighter,01,1.00,120,104,active
005,Stapler,01,5.00,60,101,active
006,Eraser,01,1.00,200,103,active
007,Shampoo,02,5.99,80,106,active
008,Conditioner,02,6.49,0,106,discontinued
009,Toothpaste,02,3.50,200,108,active
010,Body_Wash,02,4.99,100,106,active
011,Hand_Sanitizer,02,2.99,0,108,discontinued
013,Ink_Cartridge,03,30.00,40,107,active
014,Laptop,03,700.00,10,101,active
016,Mouse,03,15.00,50,102,active
017,Keyboard,03,149.00,40,102,active
018,Recycled_paper,04,10.00,250,108,active
019,Controller,03,249.00,20,102,active
020,test,01,10.00,0,101,discontinued
